gname         alias          ra            dec           plx   e_plx mux    e_mux muy    e_muy vlsr e_vlsr ref        
G012.90-00.26 W33A           18:14:39.5714 -17:52:00.382 0.396 0.032 -0.360 0.400 -2.220 0.400   37      5 8          
G013.71-00.08 G013.71-0.08   18:15:36.9814 -17:04:32.108 0.264 0.014 -0.290 0.280 -2.160 0.290   44      5 7          
G013.87+00.28 G013.87+0.28   18:14:35.8356 -16:45:35.869 0.254 0.024 -0.250 2.000 -2.490 2.000   48     10 4          
G014.33-00.64 G014.33-0.64   18:18:54.6744 -16:47:50.264 0.893 0.101  0.950 1.500 -2.400 1.300   22      5 9          
G014.63-00.57 G014.63-0.57   18:19:15.5407 -16:29:45.785 0.546 0.022  0.220 1.200 -2.070 1.200   19      5 2          
G015.03-00.67 G015.03-0.68   18:20:24.8111 -16:11:35.316 0.499 0.026  0.680 0.530 -1.420 0.540   22      3 10,67      
G016.58-00.05 G016.58-0.05   18:21:09.0840 -14:31:48.556 0.279 0.023 -1.130 0.340 -2.590 0.350   60      5 4          
G017.55-00.12 IRC-10414      18:23:17.9084 -13:42:47.146 0.497 0.038 -0.040 1.040 -2.010 1.040   44     10 59         
G017.63+00.15 G017.63+0.15   18:22:26.3821 -13:30:11.951 0.669 0.019 -0.260 1.410 -1.530 1.410   25     10 54         
G018.34+01.76 G018.34+1.76   18:17:58.1254 -12:07:24.893 0.500 0.019 -0.320 0.530 -1.990 0.760   28      3 54         
G018.87+00.05 G018.87+0.05   18:25:11.3530 -12:27:36.546 0.297 0.049 -0.170 0.320 -1.900 0.370   39      3 53         
G023.00-00.41 G023.00-0.41   18:34:40.2800 -09:00:38.360 0.205 0.015 -1.720 0.220 -4.120 0.370   79      5 11,68      
G023.20-00.37 G023.20-0.37   18:34:55.1794 -08:49:15.206 0.239 0.034 -1.450 0.500 -3.400 0.510   82     10 68         
G023.38+00.18 G023.38+0.18   18:33:14.3240 -08:23:57.500 0.208 0.025 -1.570 0.230 -3.920 0.260   75      3 60         
G023.65-00.12 G023.65-0.12   18:34:51.5650 -08:18:21.304 0.313 0.039 -1.320 0.200 -2.960 0.200   81      3 12         
G024.63-00.32 G024.63-0.32   18:37:22.7091 -07:31:42.093 0.242 0.045 -0.310 0.270 -2.730 0.300   43      5 53         
G028.14-00.00 G028.14-0.00   18:42:42.5896 -04:15:35.128 0.158 0.023 -2.110 0.170 -4.850 0.170  100      5 52         
G028.30-00.38 G028.30-0.38   18:44:21.9666 -04:17:39.904 0.221 0.022 -1.620 0.230 -3.970 0.230   87      5 53         
G028.39+00.08 G028.39-0.08   18:42:51.9822 -03:59:54.494 0.231 0.015 -1.400 0.240 -3.260 0.240   75      5 53         
G028.83-00.25 G028.83-0.25   18:44:51.0865 -03:45:48.378 0.200 0.040 -1.890 0.220 -4.530 0.220   87      5 53         
G028.86+00.06 G028.86+0.07   18:43:46.2233 -03:35:29.846 0.201 0.019 -3.190 0.420 -5.720 0.480  100     10 52         
G029.95-00.01 W43S           18:46:03.7402 -02:39:22.328 0.207 0.019 -2.360 0.200 -5.380 0.200   99      5 6,52       
G030.70-00.06 G030.70-0.06   18:47:36.7983 -02:00:54.341 0.153 0.020 -2.330 0.180 -4.950 0.180   89      3 52         
G030.74-00.04 G030.74-0.04   18:47:37.7248 -01:57:54.974 0.326 0.055 -2.380 0.380 -4.460 0.380   88      3 52         
G030.97-00.14 G030.97-0.14   18:48:22.0433 -01:48:30.750 0.294 0.022 -2.140 0.310 -3.820 0.340   77      3 52         
G031.24-00.11 G031.24-0.11   18:48:45.0808 -01:33:13.200 0.076 0.014 -2.800 0.190 -5.540 0.190   24     10 55         
G031.28+00.06 W43M           18:48:12.3760 -01:26:28.778 0.184 0.017 -1.990 0.190 -4.580 0.220  110      5 6,53       
