Catalog,GLong,GLat,Radius,Comments,Group_Flag,Group,Name,Alias,Simbad_comments,VGPSExclude,MagpisExclude,Parallax_Name,Magpis,NVSS,Cornish,Yusef20cmGC,LangRadio,LangPaschen,THOR,SMGPS,MeerKATGC,GName,RA (J2000),Dec (J2000),Name_Split,Name_Observed,GName_Observed,GLong_Observed,GLat_Observed,RA (J2000)_Observed,Dec (J2000)_Observed,TL,e_TL,FWHM,e_FWHM,VLSR,e_VLSR,VLSR_He,e_VLSR_He,FWHM_He,e_FWHM_He,TL_He,e_TL_He,VLSR_C,e_VLSR_C,FWHM_C,e_FWHM_C,TL_C,e_TL_C,Telescope,Resolution,Wavelength,Frequency,Author,Year,VLSR2,e_VLSR2,FWHM2,e_FWHM2,TL2,e_TL2,VLSR3,e_VLSR3,FWHM3,e_FWHM3,TL3,e_TL3,VLSR4,e_VLSR4,FWHM4,e_FWHM4,TL4,e_TL4,Name_Split_Observed,Name_Te,GName_Te,GLong_Te,GLat_Te,RA (J2000)_Te,Dec (J2000)_Te,Author_Te,Year_Te,Te,e_Te,y,e_y,Name_Split_Te,Name_Real_VLSR,GName_Real_VLSR,GLong_Real_VLSR,GLat_Real_VLSR,RA (J2000)_Real_VLSR,Dec (J2000)_Real_VLSR,Author_Real_VLSR,Year_Real_VLSR,Real_VLSR,Name_Split_Real_VLSR,Name_KDAR,GName_KDAR,GLong_KDAR,GLat_KDAR,RA (J2000)_KDAR,Dec (J2000)_KDAR,Author_KDAR,Year_KDAR,KDAR,DMethod,Name_Split_KDAR,GLIMPSE_Flux,GLIMPSE_e_Flux,GLIMPSE_Area,GLIMPSE_Saturation,MIPSGal_Flux,MIPSGal_e_Flux,MIPSGal_Area,MIPSGal_Saturation,WISE3_Flux,WISE3_e_Flux,WISE3_Area,WISE3_Saturation,WISE4_Flux,WISE4_e_Flux,WISE4_Area,WISE4_Saturation,HiGal70_Flux,HiGal70_e_Flux,HiGal70_Area,HiGal70_Saturation,HiGal160_Flux,HiGal160_e_Flux,HiGal160_Area,HiGal160_Saturation,VGPS_Flux,VGPS_e_Flux,VGPS_Area,VGPS_Saturation,MAGPIS_Flux,MAGPIS_e_Flux,MAGPIS_Area,GLong_Radio_Continuum,GLat_Radio_Continuum,RA (J2000)_Radio_Continuum,Dec (J2000)_Radio_Continuum,Author_Radio_Continuum,Year_Radio_Continuum,Match_Distance,GLong_Molecular,GLat_Molecular,RA (J2000)_Molecular,Dec (J2000)_Molecular,VLSR_Molecular,Molecule_Molecular,Author_Molecular,Year_Molecular,GName_Parallax,Alias_Parallax,RA (J2000)_Parallax,Dec (J2000)_Parallax,Parallax,e_Parallax,mux,e_mux,muy,e_muy,VLSR_Parallax,e_VLSR_Parallax,Author_Parallax,Name_Split_Parallax,spectrum_x,spectrum_y,Group_VLSR,Group_e_VLSR,Group_KDAR
K,0.176805,-0.0617012,95.7851,,0,,G0.189-0.044,,,0,0,,0,0,0,0,1,1,0,0,1,G000.176-00.062,266.5702375639739,-28.81731522878864,[],G0.189-0.044,G000.189-00.044,0.189,-0.044,266.56021617341116,-28.797695308417318,0.02591,0.00263,70.23,8.22,22.28,3.49,,,,,,,,,,,,,VLA/Effelsberg,0.42,5.3,5.7,Khan et al. (2024),2024.0,,,,,,,,,,,,,,,,,,,['G0.189-0.044'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.197438,-0.0064918,24.5183,,0,,,,,0,0,,0,0,0,0,0,2,0,0,0,G000.197-00.007,266.52866845155313,-28.77098271320023,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,0.199563,-0.511958,17.1293,,0,,,,,0,0,,0,0,0,0,0,0,0,0,0,G000.199-00.512,267.02367751621887,-29.031178819777576,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.208749,-0.0019791,26.1352,6cm,0,,FQ102,,,0,0,,1,0,0,0,0,0,0,0,1,G000.208-00.002,266.53098305082256,-28.758974948139496,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,0.227849,-0.501873,72.7957,,0,,,,,0,0,,0,0,0,0,0,0,0,0,0,G000.227-00.502,267.03051025996234,-29.001750252502646,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.279061,-0.0581181,191.287,,0,,,,,0,0,,0,0,0,0,1,0,0,0,1,G000.279-00.059,266.62736545398496,-28.72808717112542,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,0.279081,-0.481935,60.0,,0,,G0.280-0.484;G000.284-00.478,,,0,0,,0,0,0,0,0,0,0,0,1,G000.279-00.482,267.0412402549004,-28.947584459787073,[],G0.280-0.484,G000.280-00.484,0.28,-0.484,267.04380338634434,-28.94786398459818,0.030940000000000002,0.00408,24.22,3.68,20.99,1.56,,,,,,,,,,,,,VLA/Effelsberg,0.42,5.3,5.7,Khan et al. (2024),2024.0,,,,,,,,,,,,,,,,,,,['G0.280-0.484'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00206658800925582,0.279,-0.484,267.04321323266595,-28.948720279556625,   18.5,CS,"Bronfman, Nyman, & May (1996)",1996.0,,,,,,,,,,,,,,,,,,,
Q,0.298378,-1.05041,230.995,,0,,,,,0,1,,0,0,0,0,0,0,0,0,0,G000.298-01.051,267.610446024396,-29.22345539484688,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,0.314427,-0.193685,26.0139,,1,S20,,S20,,0,0,G000.31-00.20,0,0,0,0,0,0,0,0,1,G000.314-00.194,266.78047706191774,-28.76819840299347,['G000.31-00.20'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0053321247172210965,0.314,-0.199,266.78540998119684,-28.771318425853497,   18.7,CS,"Bronfman, Nyman, & May (1996)",1996.0,G000.31-00.20,G000.31-0.20,17:47:09.1092,-28:46:16.278,0.342,0.042,0.21,0.39,-1.76,0.64,18.0,3.0,53,['G000.31-00.20'],,,9.6,0.5,N
G,0.314673,-0.204015,42.5286,,1,S20,,S20,,0,0,G000.31-00.20,0,0,0,0,0,0,0,0,1,G000.314-00.205,266.7907008802406,-28.77334205311175,['G000.31-00.20'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005059955928661819,0.314,-0.199,266.78540998119684,-28.771318425853497,   18.7,CS,"Bronfman, Nyman, & May (1996)",1996.0,G000.31-00.20,G000.31-0.20,17:47:09.1092,-28:46:16.278,0.342,0.042,0.21,0.39,-1.76,0.64,18.0,3.0,53,['G000.31-00.20'],,,9.6,0.5,N
